,token_text,lemma,pos,ref,char_start,char_end,id,sent_idx,sent_len,page,textblock,tag,blocktype,positions
2678470,ad,ad,ADV,"{'blocktype': 'text', 'page': array([119]), 'tag': '', 'textblock': array([18])}",12,14,100032,1732,76,[119],[18],,text,"[{'coordinates': {'upper_left_x': 0.08297872205152579, 'upper_left_y': 0.5370538480613264, 'lower_right_x': 0.7844523977726063, 'lower_right_y': 0.5398116860154498}, 'text': 'terra et ignis in siccitate. Et ideo hec ad inuicem ', 'tag': 'text', 'page': 119}]"
1242212,quibus,qui,PRON,"{'blocktype': 'text', 'page': array([229]), 'tag': '', 'textblock': array([38])}",20,26,100085,15212,84,[229],[38],,text,"[{'coordinates': {'upper_left_x': 0.051307422112239126, 'upper_left_y': 0.5318235959223134, 'lower_right_x': 0.8513816590865172, 'lower_right_y': 0.5330260129634269}, 'text': 'coctorum per additamenta in metallorum uenis, metallisque ipsis. Inuenerunt & coqui, quibus additis ', 'tag': 'text', 'page': 229}]"
3874438,nocentissima,nocentissimus,ADJ,"{'blocktype': 'text', 'page': array([69]), 'tag': '', 'textblock': array([8])}",296,308,100058,832,409,[69],[8],,text,"[{'coordinates': {'upper_left_x': 0.09882352812951352, 'upper_left_y': 0.29016624323829054, 'lower_right_x': 0.7023529822085084, 'lower_right_y': 0.2958669594517796}, 'text': 'ca nocentissima puellulae mihi commendatae ', 'tag': 'text', 'page': 69}]"
3414194,albo,albus,ADJ,"{'blocktype': 'text', 'page': array([292]), 'tag': '', 'textblock': array([17])}",24,28,100004,10375,246,[292],[17],,text,"[{'coordinates': {'upper_left_x': 0.29193112394209514, 'upper_left_y': 0.11937067731487534, 'lower_right_x': 0.9776798211013844, 'lower_right_y': 0.12074306599764645}, 'text': 'ueniamus. Fit enim tali modo: Accipe unciam de lapide albo praedicto ', 'tag': 'text', 'page': 292}]"
4627491,Gebri,Gebris,PROPN,"{'blocktype': 'text', 'page': array([165]), 'tag': '', 'textblock': array([18])}",438,443,100007,1810,444,[165],[18],,text,"[{'coordinates': {'upper_left_x': 0.304941180573792, 'upper_left_y': 0.5156579459364794, 'lower_right_x': 0.8494970497964811, 'lower_right_y': 0.5215011922877079}, 'text': 'agesimo tertio Gebri. Idem capite sexto dicit. ', 'tag': 'text', 'page': 165}]"
5293050,ob,ob,ADP,"{'blocktype': 'text', 'page': array([77]), 'tag': '', 'textblock': array([32])}",146,148,100023,1068,173,[77],[32],,text,"[{'coordinates': {'upper_left_x': 0.09196638860622373, 'upper_left_y': 0.8029453159794389, 'lower_right_x': 0.8485257701713498, 'lower_right_y': 0.8086460865591597}, 'text': 'tum ob causarum disparilitatem. Demum ob ea quibus corpora no', 'tag': 'text', 'page': 77}]"
4874963,Cap,Capitulum,PROPN,"{'blocktype': 'text', 'page': array([338]), 'tag': '', 'textblock': array([26])}",14,17,100067,6303,25,[338],[26],,text,"[{'coordinates': {'upper_left_x': 0.5409075568704044, 'upper_left_y': 0.6897862087802479, 'lower_right_x': 0.8283013351825105, 'lower_right_y': 0.6954869793599688}, 'text': '{Pediculorum, Cap. XIIII. ', 'tag': 'text', 'page': 338}]"
3370564,perficit,perficio,VERB,"{'blocktype': 'text', 'page': array([226]), 'tag': '', 'textblock': array([37])}",12,20,100004,8145,21,[226],[37],,text,"[{'coordinates': {'upper_left_x': 0.23215615181180493, 'upper_left_y': 0.6340117116317985, 'lower_right_x': 0.9531692179343508, 'lower_right_y': 0.6353573939497477}, 'text': '& azot tibi sufficiunt. Alibique. Calor omnia perficit. Et alibi. Coque, coque, ', 'tag': 'text', 'page': 226}]"
892951,in,in,ADP,"{'blocktype': 'text', 'page': array([498]), 'tag': '', 'textblock': array([14])}",52,54,100012,5367,97,[498],[14],,text,"[{'coordinates': {'upper_left_x': 0.054219268089117006, 'upper_left_y': 0.4881528947510284, 'lower_right_x': 0.7079451551469061, 'lower_right_y': 0.4983439840328921}, 'text': 'mansit, in uesica positum suspendes in ', 'tag': 'text', 'page': 498}]"
4911207,quod,qui,PRON,"{'blocktype': 'text', 'page': array([496]), 'tag': '', 'textblock': array([7])}",82,86,100067,9560,195,[496],[7],,text,"[{'coordinates': {'upper_left_x': 0.228705885430344, 'upper_left_y': 0.25909739152269523, 'lower_right_x': 0.8755440848214285, 'lower_right_y': 0.2647981077361843}, 'text': 'lo, uel aqua, ubi saccharum eliquaueris, quod ', 'tag': 'text', 'page': 496}]"
4773714,sint,sum,AUX,"{'blocktype': 'text', 'page': array([249]), 'tag': '', 'textblock': array([23])}",153,157,100063,3762,168,[249],[23],,text,"[{'coordinates': {'upper_left_x': 0.1052773098985688, 'upper_left_y': 0.6396199495945294, 'lower_right_x': 0.6938944327731092, 'lower_right_y': 0.6453207201742504}, 'text': 'modo sint apparatae; disces apud metallur', 'tag': 'text', 'page': 249}]"
3158719,",",",",PUNCT,"{'blocktype': 'text', 'page': array([729]), 'tag': '', 'textblock': array([11])}",27,28,100065,14083,38,[729],[11],,text,"[{'coordinates': {'upper_left_x': 0.05677419580439086, 'upper_left_y': 0.3504680756793612, 'lower_right_x': 0.7642904302125336, 'lower_right_y': 0.35434515481863177}, 'text': 'rii, elleb. nig. oleum Guaiaci oleum saturni, o', 'tag': 'text', 'page': 729}]"
6463522,Et,et,CCONJ,"{'blocktype': 'text', 'page': array([341]), 'tag': '', 'textblock': array([18])}",0,2,100011,4347,126,[341],[18],,text,"[{'coordinates': {'upper_left_x': 0.02921739039213761, 'upper_left_y': 0.567246835443038, 'lower_right_x': 0.7026919821034308, 'lower_right_y': 0.5691455406478688}, 'text': 'tur opus metallicum, tanto melius. Et scias quod praedictae ', 'tag': 'text', 'page': 341}]"
2213099,aqua,aqua,NOUN,"{'blocktype': 'text', 'page': array([971]), 'tag': '', 'textblock': array([18])}",3,7,100038,12838,137,[971],[18],,text,"[{'coordinates': {'upper_left_x': 0.08652229066107683, 'upper_left_y': 0.5122784481772894, 'lower_right_x': 0.7689813893312102, 'lower_right_y': 0.5160759551615655}, 'text': 'in aqua comuni, quod omne quod cum ea co', 'tag': 'text', 'page': 971}]"
4376937,"""","""",PUNCT,"{'blocktype': 'text', 'page': array([710]), 'tag': '', 'textblock': array([91])}",0,1,100100,28598,16,[710],[91],,text,"[{'coordinates': {'upper_left_x': 0.516616897203436, 'upper_left_y': 0.8396190631200396, 'lower_right_x': 0.8852655464539283, 'lower_right_y': 0.8426666356646826}, 'text': '""Honora patrem"". Et alius: ""quod nulla sit pater', 'tag': 'text', 'page': 710}]"
5490905,semine,semen,NOUN,"{'blocktype': 'text', 'page': array([82]), 'tag': '', 'textblock': array([9])}",4,10,100021,491,62,[82],[9],,text,"[{'coordinates': {'upper_left_x': 0.21862185181689864, 'upper_left_y': 0.40874106074172356, 'lower_right_x': 0.8682219176733194, 'lower_right_y': 0.4144417588331354}, 'text': 'semine lactucae, somnum excitat, ', 'tag': 'text', 'page': 82}]"
6266780,nec,neque,ADV,"{'blocktype': 'text', 'page': array([301]), 'tag': '', 'textblock': array([22])}",205,208,100016,3754,283,[301],[22],,text,"[{'coordinates': {'upper_left_x': 0.06766917293233082, 'upper_left_y': 0.6379811268932415, 'lower_right_x': 0.8379152340996534, 'lower_right_y': 0.6495849321473319}, 'text': 'intermixtis sicut nec natura, immo nec in argento uiuo & ', 'tag': 'text', 'page': 301}]"
80955,calce,calx,NOUN,"{'blocktype': 'text', 'page': array([128]), 'tag': '', 'textblock': array([19])}",178,183,100034,1434,264,[128],[19],,text,"[{'coordinates': {'upper_left_x': 0.21902522239364497, 'upper_left_y': 0.6923514975504751, 'lower_right_x': 0.9350999335280987, 'lower_right_y': 0.6980522681301959}, 'text': 'ctem, tunc sal nitrum a calce separabitur, ', 'tag': 'text', 'page': 128}]"
3232834,",",",",PUNCT,"{'blocktype': 'text', 'page': array([17]), 'tag': '', 'textblock': array([16])}",10,11,100004,339,136,[17],[16],,text,"[{'coordinates': {'upper_left_x': 0.10025316136000928, 'upper_left_y': 0.2648482923881941, 'lower_right_x': 0.8014501590803689, 'lower_right_y': 0.26618423695488624}, 'text': 'qui cum uulgo sentiunt, fere omnibus, recepta est. Prior illa, ex naturae secretis (ut dix i) ad', 'tag': 'text', 'page': 17}]"
1166440,ignem,ignis,NOUN,"{'blocktype': 'text', 'page': array([151]), 'tag': '', 'textblock': array([19])}",47,52,100085,10229,64,[151],[19],,text,"[{'coordinates': {'upper_left_x': 0.04034843178991657, 'upper_left_y': 0.2859919974225795, 'lower_right_x': 0.8180247449708733, 'lower_right_y': 0.28719438388495744}, 'text': '& ignem tolerantis. Remisce haec affusa aqua, & subige diligenter, ut fiat massa tenax."" Cum instruere cineritium in', 'tag': 'text', 'page': 151}]"
3274820,quia,quia,SCONJ,"{'blocktype': 'text', 'page': array([80]), 'tag': '', 'textblock': array([4])}",4,8,100004,3102,167,[80],[4],,text,"[{'coordinates': {'upper_left_x': 0.21389920262506218, 'upper_left_y': 0.11803728085068237, 'lower_right_x': 0.9243766319214191, 'lower_right_y': 0.11940585204059458}, 'text': 'per lauationem, cuius modum narrabimus. Sed quia duplicem ex illo perfectio', 'tag': 'text', 'page': 80}]"
2844553,",",",",PUNCT,"{'blocktype': 'text', 'page': array([269]), 'tag': '', 'textblock': array([1])}",56,57,100045,2781,238,[269],[1],,text,"[{'coordinates': {'upper_left_x': 0.1262521054564404, 'upper_left_y': 0.07524942049221302, 'lower_right_x': 0.7962569036403624, 'lower_right_y': 0.08095013217518279}, 'text': 'illo beato Stephano protomartyre, qui dum la ', 'tag': 'text', 'page': 269}]"
1399276,sed,sed,CCONJ,"{'blocktype': 'text', 'page': array([392]), 'tag': '', 'textblock': array([16])}",0,3,100085,25273,16,[392],[16],,text,"[{'coordinates': {'upper_left_x': 0.2267741951891171, 'upper_left_y': 0.2669089004578378, 'lower_right_x': 0.966841284092182, 'lower_right_y': 0.2681538508488582}, 'text': 'Omnibus metallis accommodum caementum est: sed diuersimode. Quaedam diutius durant, ', 'tag': 'text', 'page': 392}]"
402808,",",",",PUNCT,"{'blocktype': 'text', 'page': array([52]), 'tag': '', 'textblock': array([11])}",10,11,100079,539,163,[52],[11],,text,"[{'coordinates': {'upper_left_x': 0.24564706497833508, 'upper_left_y': 0.32924461817798023, 'lower_right_x': 0.8769627675288866, 'lower_right_y': 0.33508786452920875}, 'text': 'Hoc & illi, & eius complici Pererio respon', 'tag': 'text', 'page': 52}]"
5471793,:,:,PUNCT,"{'blocktype': 'text', 'page': array([319]), 'tag': '', 'textblock': array([21])}",180,181,100040,1812,181,[319],[21],,text,"[{'coordinates': {'upper_left_x': 0.09963025004923845, 'upper_left_y': 0.8345842882459917, 'lower_right_x': 0.7771912133994223, 'lower_right_y': 0.8402850588257126}, 'text': 'qualem uult natura: & uas, in quo poni', 'tag': 'text', 'page': 319}]"
3271629,",",",",PUNCT,"{'blocktype': 'text', 'page': array([75]), 'tag': '', 'textblock': array([28])}",445,446,100004,2927,545,[75],[28],,text,"[{'coordinates': {'upper_left_x': 0.08514412416851441, 'upper_left_y': 0.47638392448425293, 'lower_right_x': 0.7956683173676552, 'lower_right_y': 0.4777231897626604}, 'text': 'fuream sibi unitam, quae sua siccitate uiscosam, & humidam illius conditionem ', 'tag': 'text', 'page': 75}]"
3591749,canorae,canorus,ADJ,"{'blocktype': 'text', 'page': array([559]), 'tag': '', 'textblock': array([9])}",5,12,100004,19544,331,[559],[9],,text,"[{'coordinates': {'upper_left_x': 0.13538461061002688, 'upper_left_y': 0.20371544916426954, 'lower_right_x': 0.4244575483909849, 'lower_right_y': 0.2050543749182793}, 'text': 'Aues canorae, & arborum leues comae, ', 'tag': 'text', 'page': 559}]"
189853,ubi,ubi,ADV,"{'blocktype': 'text', 'page': array([347]), 'tag': '', 'textblock': array([24, 25])}",88,91,100094,4155,131,[347],[24 25],,text,"[{'coordinates': {'upper_left_x': 0.19055999755859376, 'upper_left_y': 0.6664100439560755, 'lower_right_x': 0.9365545654296875, 'lower_right_y': 0.670025020377939}, 'text': 'etiam & alterum, ueluti uolans Mercurius idem facit, u', 'tag': 'text', 'page': 347}, {'coordinates': {'upper_left_x': 0.19439999389648438, 'upper_left_y': 0.6939015609214273, 'lower_right_x': 0.8056732177734375, 'lower_right_y': 0.6974284153138777}, 'text': 'bi unum manet, ubi quoque & alterum manet. ', 'tag': 'text', 'page': 347}]"
925577,experta,experior,VERB,"{'blocktype': 'text', 'page': array([83]), 'tag': '', 'textblock': array([10])}",66,73,100082,773,87,[83],[10],,text,"[{'coordinates': {'upper_left_x': 0.2141848780527836, 'upper_left_y': 0.41045127741797804, 'lower_right_x': 0.8855758025866597, 'lower_right_y': 0.41615197550938987}, 'text': 'rium experta sit alchymia: utpote de qua ua', 'tag': 'text', 'page': 83}]"
5356094,&,&,PUNCT,"{'blocktype': 'text', 'page': array([79]), 'tag': '', 'textblock': array([23])}",36,37,100091,758,99,[79],[23],,text,"[{'coordinates': {'upper_left_x': 0.030191430202265054, 'upper_left_y': 0.804327892866291, 'lower_right_x': 0.738984406157418, 'lower_right_y': 0.8069508036629098}, 'text': 'lia uenenata sunt, cur non & uegetabi', 'tag': 'text', 'page': 79}]"
2246692,Rosarium,rosarium,PROPN,"{'blocktype': 'title', 'page': array([1140]), 'tag': '', 'textblock': array([0])}",4,12,100038,15149,12,[1140],[0],,title,"[{'coordinates': {'upper_left_x': 0.2024904709153133, 'upper_left_y': 0.04480627165065976, 'lower_right_x': 0.7814065819319806, 'lower_right_y': 0.04868028896061454}, 'text': '408 Rosarium ', 'tag': 'title', 'page': 1140}]"
1493144,non,non,PART,"{'blocktype': 'text', 'page': array([205]), 'tag': '', 'textblock': array([22])}",126,129,100095,2157,392,[205],[22],,text,"[{'coordinates': {'upper_left_x': 0.152470590286896, 'upper_left_y': 0.5934441718239682, 'lower_right_x': 0.7337483382024685, 'lower_right_y': 0.5991448699153801}, 'text': 'non ex innata & primordiali origine & essentia ', 'tag': 'text', 'page': 205}]"
755851,Unguenta,unguentum,NOUN,"{'blocktype': 'title', 'page': array([715]), 'tag': '', 'textblock': array([41])}",0,8,100072,26896,21,[715],[41],,title,"[{'coordinates': {'upper_left_x': 0.17625899280575538, 'upper_left_y': 0.8039002368578458, 'lower_right_x': 0.6147771236136091, 'lower_right_y': 0.8056337322815096}, 'text': 'Unguenta ABSTERSORIA. ', 'tag': 'title', 'page': 715}]"
2627406,argenti,argentum,NOUN,"{'blocktype': 'text', 'page': array([185]), 'tag': '', 'textblock': array([20])}",82,89,100049,2848,100,[185],[20],,text,"[{'coordinates': {'upper_left_x': 0.12262184720079439, 'upper_left_y': 0.5592398745430337, 'lower_right_x': 0.7108234822249212, 'lower_right_y': 0.5649405726344455}, 'text': 'argenti fricueris; adhaeret enim illi, & rubro ', 'tag': 'text', 'page': 185}]"
1056383,cloaca,cloaca,NOUN,"{'blocktype': 'text', 'page': array([35]), 'tag': '', 'textblock': array([52])}",201,207,100085,2019,218,[35],[52],,text,"[{'coordinates': {'upper_left_x': 0.06767918062698312, 'upper_left_y': 0.7438430632623868, 'lower_right_x': 0.7315230125453285, 'lower_right_y': 0.745050319003867}, 'text': 'sint in imis subselliis peneque cloaca medicinae. Redigamus sententiam in syllogismum: ', 'tag': 'text', 'page': 35}]"
268442,dirigitur,dirigo,VERB,"{'blocktype': 'text', 'page': array([221]), 'tag': '', 'textblock': array([25])}",52,61,100060,1498,233,[221],[25],,text,"[{'coordinates': {'upper_left_x': 0.09963025004923845, 'upper_left_y': 0.7334251856860525, 'lower_right_x': 0.7111511743369223, 'lower_right_y': 0.7392683957931265}, 'text': 'det & dirigitur a cognitione Dei ut ars a co', 'tag': 'text', 'page': 221}]"
6150255,:,:,PUNCT,"{'blocktype': 'text', 'page': array([26]), 'tag': '', 'textblock': array([40])}",96,97,100036,128,97,[26],[40],,text,"[{'coordinates': {'upper_left_x': 0.28557982885537025, 'upper_left_y': 0.7368456190385615, 'lower_right_x': 0.7955042734867385, 'lower_right_y': 0.7426888291456354}, 'text': 'coeat & miscetur quam aqua aquae: iam con', 'tag': 'text', 'page': 26}]"
5594885,sunt,sum,AUX,"{'blocktype': 'text', 'page': array([90]), 'tag': '', 'textblock': array([12])}",108,112,100030,840,150,[90],[12],,text,"[{'coordinates': {'upper_left_x': 0.3170420157809217, 'upper_left_y': 0.4224227941517592, 'lower_right_x': 0.9266824161305147, 'lower_right_y': 0.42812349224317103}, 'text': 'ciunt cicatricem inducere, & raro sunt ', 'tag': 'text', 'page': 90}]"
2527600,cuius,qui,PRON,"{'blocktype': 'text', 'page': array([238]), 'tag': '', 'textblock': array([14])}",71,76,100059,3592,108,[238],[14],,text,"[{'coordinates': {'upper_left_x': 0.2597647017791492, 'upper_left_y': 0.34460808035879975, 'lower_right_x': 0.8870777803308824, 'lower_right_y': 0.3503087784502116}, 'text': 'riam, duce Raymundo Lullio, cuius in scriptis ', 'tag': 'text', 'page': 238}]"
5876593,Plantarum,planta,NOUN,"{'blocktype': 'text', 'page': array([353]), 'tag': '', 'textblock': array([19])}",7,16,100084,4885,77,[353],[19],,text,"[{'coordinates': {'upper_left_x': 0.049736842774508294, 'upper_left_y': 0.48028477535972114, 'lower_right_x': 0.8354222481710869, 'lower_right_y': 0.482183480564552}, 'text': 'possunt: sic ex Plantarum Exterioribus signis, Interiorum uirium Homo potest ', 'tag': 'text', 'page': 353}]"
