,token_text,lemma,pos,ref,char_start,char_end,id,sent_idx,sent_len,page,textblock,tag,blocktype,positions
127515,fuerat,sum,AUX,"{'blocktype': 'text', 'page': array([111]), 'tag': '', 'textblock': array([3])}",193,199,100094,1253,219,[111],[3],,text,"[{'coordinates': {'upper_left_x': 0.18503999328613283, 'upper_left_y': 0.12252727832669526, 'lower_right_x': 0.9329696655273437, 'lower_right_y': 0.1260131193228883}, 'text': 'um fuerat, iterum commutabat: atque hac ratione Sa', 'tag': 'text', 'page': 111}]"
5597411,",",",",PUNCT,"{'blocktype': 'text', 'page': array([106]), 'tag': '', 'textblock': array([2])}",33,34,100030,967,309,[106],[2],,text,"[{'coordinates': {'upper_left_x': 0.3150252141872374, 'upper_left_y': 0.1399524897124592, 'lower_right_x': 0.9148221056000525, 'lower_right_y': 0.14565319686490963}, 'text': 'tis, pone ea in balneo distillatorio cum ', 'tag': 'text', 'page': 106}]"
6356338,modi,modus,NOUN,"{'blocktype': 'text', 'page': array([201]), 'tag': '', 'textblock': array([23])}",8,12,100022,1931,75,[201],[23],,text,"[{'coordinates': {'upper_left_x': 0.0490308375085503, 'upper_left_y': 0.6683863850383015, 'lower_right_x': 0.6677837623898678, 'lower_right_y': 0.6703831561200031}, 'text': 'aere. Et isti modi mixtionis elementorum cum sulphu', 'tag': 'text', 'page': 201}]"
1509060,benigna,benignus,ADJ,"{'blocktype': 'text', 'page': array([271]), 'tag': '', 'textblock': array([16])}",322,329,100095,2787,351,[271],[16],,text,"[{'coordinates': {'upper_left_x': 0.1706218430975906, 'upper_left_y': 0.46261281355542977, 'lower_right_x': 0.7551828592765231, 'lower_right_y': 0.4683135116468416}, 'text': 'turam ueram habent, prima fronte, benigna & ', 'tag': 'text', 'page': 271}]"
1780358,ad,ad,ADP,"{'blocktype': 'text', 'page': array([34]), 'tag': '', 'textblock': array([9])}",38,40,100070,762,67,[34],[9],,text,"[{'coordinates': {'upper_left_x': 0.2698795058162337, 'upper_left_y': 0.24149764086266576, 'lower_right_x': 0.9138246099632906, 'lower_right_y': 0.24898594515557967}, 'text': 'cuius altitudo est pes medius. In uertice foramen habet unius digiti ad ex', 'tag': 'text', 'page': 34}]"
506608,etiam,etiam,ADV,"{'blocktype': 'text', 'page': array([117]), 'tag': '', 'textblock': array([11])}",3,8,100072,4187,31,[117],[11],,text,"[{'coordinates': {'upper_left_x': 0.10875428989955357, 'upper_left_y': 0.2894736161565866, 'lower_right_x': 0.7388321707589286, 'lower_right_y': 0.2912402168424596}, 'text': 'etiam in externis experimur: cum materiam aliquam elixamus. ', 'tag': 'text', 'page': 117}]"
4272857,",",",",PUNCT,"{'blocktype': 'text', 'page': array([542]), 'tag': '', 'textblock': array([45])}",53,54,100100,21870,131,[542],[45],,text,"[{'coordinates': {'upper_left_x': 0.12472440731285542, 'upper_left_y': 0.8587994692704964, 'lower_right_x': 0.5151176552760006, 'lower_right_y': 0.8619819039052393}, 'text': 'frigora, dolores, debilitates, eiusque ge', 'tag': 'text', 'page': 542}]"
6257,consumitur,consumo,VERB,"{'blocktype': 'text', 'page': array([31]), 'tag': '', 'textblock': array([8])}",38,48,100044,790,187,[31],[8],,text,"[{'coordinates': {'upper_left_x': 0.1197983172761292, 'upper_left_y': 0.28249879234477066, 'lower_right_x': 0.7360840869550945, 'lower_right_y': 0.28834202057392183}, 'text': 'non utitur amplius, nec ullo modo consumitur, ', 'tag': 'text', 'page': 31}]"
2793449,extiterit,exto,VERB,"{'blocktype': 'text', 'page': array([28]), 'tag': '', 'textblock': array([22])}",300,309,100045,229,310,[28],[22],,text,"[{'coordinates': {'upper_left_x': 0.21942856732536764, 'upper_left_y': 0.6427838468211847, 'lower_right_x': 0.9005522912289916, 'lower_right_y': 0.6486270569282586}, 'text': 'seductus non extiterit. Nihilominus ut uerita', 'tag': 'text', 'page': 28}]"
1788956,coloris,color,NOUN,"{'blocktype': 'text', 'page': array([52]), 'tag': '', 'textblock': array([30])}",131,138,100070,1250,205,[52],[30],,text,"[{'coordinates': {'upper_left_x': 0.28759915345894765, 'upper_left_y': 0.4643364546826324, 'lower_right_x': 0.9578140035800495, 'lower_right_y': 0.4720000269999757}, 'text': 'untur ex suis fodinis, coloris modo aurei, modo purpurei, uiridis, albi, trans', 'tag': 'text', 'page': 52}]"
