,token,pdf_page,pdf_page_textblock,positions
3211077,ita,[20],[13],"[{'coordinates': {'upper_left_x': 0.15078067425015249, 'upper_left_y': 0.41531916769401966, 'lower_right_x': 0.9338739671671701, 'lower_right_y': 0.4266666926390736}, 'text': 'auri cupidos uidi, ita ut iures duros esse silices ex quibus aurum\n', 'tag': 'text'}]"
193751,.,[121],[13],"[{'coordinates': {'upper_left_x': 0.14526315990247224, 'upper_left_y': 0.3851366164688638, 'lower_right_x': 0.9131928293328536, 'lower_right_y': 0.39387979142652835}, 'text': 'RAYM. Dicit Senior philosophus hanc medicinam con¬\n', 'tag': 'text'}]"
2773507,Deus,[105],[4],"[{'coordinates': {'upper_left_x': 0.225882342683167, 'upper_left_y': 0.23204750912772787, 'lower_right_x': 0.6921227206702993, 'lower_right_y': 0.23789073735687907}, 'text': 'DEVS benedictus caeli ipse testis\n', 'tag': 'text'}]"
3441469,in,[166],[4],"[{'coordinates': {'upper_left_x': 0.2723478234332541, 'upper_left_y': 0.207341713241384, 'lower_right_x': 0.9590818322223166, 'lower_right_y': 0.20924046673352206}, 'text': 'nati, aestimauimus aestimatione uera, in qua fuimus cer¬\n', 'tag': 'text'}]"
1092819,modo,[1178],[13],"[{'coordinates': {'upper_left_x': 0.2688745101395739, 'upper_left_y': 0.426643588189447, 'lower_right_x': 0.9648263001040993, 'lower_right_y': 0.4305237008946175}, 'text': 'De modo sublimandi & albificandi terram, ca. XVI\n', 'tag': 'text'}]"
1635748,omnem,[133],[8],"[{'coordinates': {'upper_left_x': 0.0907563025210084, 'upper_left_y': 0.2671068422584805, 'lower_right_x': 0.7612403677291228, 'lower_right_y': 0.27295007048763176}, 'text': 'mnem rem subtilem, omnemque solidam penetrabit.\n', 'tag': 'text'}]"
1073932,metallicis,[1081],[15],"[{'coordinates': {'upper_left_x': 0.08950191804732399, 'upper_left_y': 0.4653872190159838, 'lower_right_x': 0.786363701558509, 'lower_right_y': 0.4692826924206997}, 'text': 'alijs metallicis corporibus: quia est de natu¬\n', 'tag': 'text'}]"
2411089,que,[587],[16],"[{'coordinates': {'upper_left_x': 0.152470590286896, 'upper_left_y': 0.47600948668998666, 'lower_right_x': 0.7925900242909664, 'lower_right_y': 0.48171018478139843}, 'text': 'appone, eiusque vigore viuum argentum per fi¬\n', 'tag': 'text'}]"
3246505,cum,[160],[7],"[{'coordinates': {'upper_left_x': 0.1560456308575184, 'upper_left_y': 0.22188676078364533, 'lower_right_x': 0.9383326773407795, 'lower_right_y': 0.23320750470431345}, 'text': 'introducuntur in instanti cum formis specialibus à natura\n', 'tag': 'text'}]"
1727217,corroborationem,[228],[ 9 10],"[{'coordinates': {'upper_left_x': 0.23757983295857404, 'upper_left_y': 0.3266793294077531, 'lower_right_x': 0.8428739147025998, 'lower_right_y': 0.3325225757589816}, 'text': 'de Lazuli assato paratur, ad uirium corrobo¬\n', 'tag': 'text'}, {'coordinates': {'upper_left_x': 0.23515966078814338, 'upper_left_y': 0.35258904318911444, 'lower_right_x': 0.8436538311613708, 'lower_right_y': 0.35828974128052626}, 'text': 'rationem à drach.s. ad drach.j. dabitur. Si\n', 'tag': 'text'}]"
1816928,id,[141],[21],"[{'coordinates': {'upper_left_x': 0.12100840336134454, 'upper_left_y': 0.6353729320535184, 'lower_right_x': 0.7397266035320378, 'lower_right_y': 0.6412161421605923}, 'text': 'de habebitis virtutem occultam, id est, sulphur\n', 'tag': 'text'}]"
3476231,propter,[320],[10],"[{'coordinates': {'upper_left_x': 0.28226086160411007, 'upper_left_y': 0.3787974345533154, 'lower_right_x': 0.9668751592221467, 'lower_right_y': 0.3806961880454534}, 'text': 'Mercurius corporum hoc facere non potest. Est enim propter\n', 'tag': 'text'}]"
1492732,aspectus,[93],[15],"[{'coordinates': {'upper_left_x': 0.0580714293888637, 'upper_left_y': 0.45872242125120455, 'lower_right_x': 0.7538228171212332, 'lower_right_y': 0.461365619945106}, 'text': 'gnorum. aut aspectus planetarum, vel tempo¬\n', 'tag': 'text'}]"
2024025,",",[125],[6],"[{'coordinates': {'upper_left_x': 0.08411508575146782, 'upper_left_y': 0.2657265487982302, 'lower_right_x': 0.715155949879441, 'lower_right_y': 0.2682367441605549}, 'text': 'docuimus, si ritè obseruaueris pon¬\n', 'tag': 'text'}]"
2834698,res,[30],[14],"[{'coordinates': {'upper_left_x': 0.20666666825612387, 'upper_left_y': 0.5508662995252952, 'lower_right_x': 0.9264656702677408, 'lower_right_y': 0.553507224885098}, 'text': 'sic omnes res productae sunt ab vnica natu¬\n', 'tag': 'text'}]"
3204799,triticeis,[48],[17],"[{'coordinates': {'upper_left_x': 0.25290755584460345, 'upper_left_y': 0.5019762125264438, 'lower_right_x': 0.8581875328256302, 'lower_right_y': 0.5078194588776722}, 'text': 'nunc de triticeis Ceruisiis, quas albas vocant)\n', 'tag': 'text'}]"
2653702,",",[279],[13],"[{'coordinates': {'upper_left_x': 0.1298823508895746, 'upper_left_y': 0.523040372798675, 'lower_right_x': 0.7946023380055147, 'lower_right_y': 0.5287410708900868}, 'text': 'bilium existentium in composito, est cau¬\n', 'tag': 'text'}]"
1459645,.,[235],[19],"[{'coordinates': {'upper_left_x': 0.13310923856847426, 'upper_left_y': 0.546698309746604, 'lower_right_x': 0.7323744317062763, 'lower_right_y': 0.5523990078380159}, 'text': 'batur. Item aqua è nucamentis salicis. Non\n', 'tag': 'text'}]"
